"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
017000,4,,4,,91,,4,,89,,4,,88,,4,,92,,85,,683,,22,,
017009,4,,5,,92,,4,,92,,4,,86,,4,,92,,87,,275,,31,,
017013,5,,5,,92,,4,,90,,5,,89,,4,,92,,88,,234,,36,,
017014,4,,5,,92,,3,,87,,4,,88,,4,,93,,85,,120,,30,,
017016,5,,5,,91,,4,,90,,5,,90,,5,,92,,88,,212,,28,,
017018,4,,5,,93,,4,,92,,4,,84,,4,,92,,87,,325,,29,,
017020,4,,5,,92,,4,,88,,4,,88,,4,,88,,83,,269,,21,,
017024,4,,4,,90,,3,,87,,4,,86,,3,,86,,83,,479,,30,,
017025,4,,4,,90,,3,,86,,4,,83,,3,,84,,82,,379,,22,,
017026,3,,4,,90,,3,,87,,3,,80,,3,,85,,80,,381,,26,,
017027,4,,5,,92,,4,,90,,4,,88,,4,,89,,83,,581,,28,,
017034,4,,5,,93,,3,,85,,4,,83,,4,,89,,83,,232,,27,,
017035,4,,4,,89,,3,,85,,4,,84,,3,,86,,81,,462,,23,,
017037,3,,4,,88,,3,,87,,3,,82,,3,,85,,78,,279,,26,,
017039,2,,3,,87,,2,,81,,2,,73,,2,,79,,75,,285,,19,,
017048,4,,5,,91,,4,,90,,4,,84,,4,,89,,89,,144,,34,,
017050,Not Available,11,Not Available,11,97,11,Not Available,11,86,11,Not Available,11,82,11,Not Available,11,90,11,76,11,23,11,26,11,11
017051,3,,3,,87,,3,,85,,3,,79,,3,,83,,73,,284,,20,,
017052,4,,5,,93,,4,,91,,4,,86,,4,,90,,88,,329,,36,,
017053,4,,4,,90,,3,,88,,4,,86,,4,,88,,86,,338,,36,,
017054,4,,5,,91,,3,,87,,4,,84,,4,,90,,85,,239,,22,,
017055,4,,5,,92,,4,,90,,4,,84,,4,,89,,84,,236,,29,,
017056,3,,3,,86,,3,,86,,3,,80,,3,,85,,77,,171,,22,,
017058,4,,4,,90,,3,,87,,4,,84,,4,,86,,81,,394,,31,,
017063,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017066,5,,5,,93,,4,,89,,4,,86,,5,,91,,88,,176,,27,,
017069,4,,4,,90,,4,,89,,4,,88,,4,,87,,83,,331,,32,,
017070,5,,5,,94,,5,,93,,5,,89,,5,,93,,89,,117,,23,,
017071,4,,5,,92,,4,,90,,4,,87,,4,,88,,88,,312,,31,,
017072,3,,4,,89,,3,,87,,4,,84,,2,,83,,76,,103,,25,,
017078,5,,5,,95,,5,,93,,4,,88,,5,,93,,91,,124,,27,,
017079,5,,5,,93,,5,,93,,5,,92,,5,,92,,89,,82,,36,,
017080,5,,5,,92,,4,,90,,5,,92,,4,,90,,83,,300,,22,,
017082,3,,3,,84,,3,,85,,3,,79,,2,,84,,69,,287,,18,,
017084,4,,5,,92,,4,,90,,4,,86,,4,,88,,81,,104,,26,,
017085,4,,4,,89,,3,,86,,4,,86,,3,,82,,74,,172,,26,,
017086,3,,4,,91,,3,,88,,3,,82,,2,,85,,79,,110,,29,,
017088,5,,5,,94,,5,,93,,4,,85,,4,,89,,84,,128,,31,,
017089,4,,5,,92,,4,,90,,4,,86,,4,,88,,85,,206,,31,,
017090,5,,5,,92,,4,,87,,5,,89,,4,,89,,85,,131,,26,,
017091,4,,5,,94,,3,,86,,5,,91,,4,,91,,83,,92,,47,,
017092,5,11,5,11,93,11,5,11,92,11,5,11,89,11,5,11,96,11,88,11,55,11,29,11,11
017093,4,,5,,93,,4,,92,,4,,88,,3,,88,,86,,104,,27,,
017094,5,,5,,94,,5,,93,,5,,90,,5,,91,,94,,150,,29,,
017095,4,,5,,90,,4,,88,,4,,85,,3,,86,,80,,234,,30,,
017096,4,,5,,91,,3,,87,,4,,85,,3,,84,,80,,159,,26,,
017097,5,,5,,93,,4,,89,,5,,91,,4,,87,,85,,112,,35,,
017100,Not Available,11,Not Available,11,94,11,Not Available,11,97,11,Not Available,11,86,11,Not Available,11,99,11,93,11,38,11,21,11,11
017103,5,11,5,11,92,11,4,11,87,11,4,11,83,11,5,11,95,11,94,11,49,11,28,11,11
017104,5,,5,,97,,5,,93,,5,,91,,5,,96,,90,,111,,32,,
017106,Not Available,11,Not Available,11,90,11,Not Available,11,82,11,Not Available,11,85,11,Not Available,11,78,11,89,11,37,11,20,11,11
017107,5,,5,,90,,4,,90,,5,,89,,4,,88,,87,,219,,30,,
017109,5,11,5,11,94,11,5,11,96,11,5,11,94,11,4,11,93,11,93,11,48,11,28,11,11
017112,5,11,4,11,89,11,5,11,91,11,5,11,89,11,5,11,98,11,83,11,58,11,19,11,11
017115,4,,4,,90,,4,,88,,4,,87,,4,,88,,86,,137,,31,,
017116,4,,5,,94,,3,,88,,4,,83,,4,,90,,85,,276,,40,,
017117,4,,5,,94,,3,,87,,4,,85,,5,,92,,88,,148,,41,,
017118,4,,5,,93,,4,,91,,4,,87,,4,,87,,82,,138,,24,,
017119,3,,4,,88,,3,,86,,3,,82,,3,,81,,79,,564,,29,,
017121,4,,5,,92,,4,,89,,4,,84,,4,,89,,86,,177,,32,,
017123,5,,5,,92,,4,,92,,5,,90,,5,,93,,90,,170,,25,,
017124,4,,5,,93,,3,,89,,3,,80,,4,,88,,86,,85,,36,,
017125,4,,5,,92,,4,,90,,4,,87,,4,,89,,84,,333,,29,,
017128,5,,5,,93,,4,,91,,4,,87,,5,,92,,90,,552,,31,,
017129,4,,5,,90,,3,,87,,4,,85,,4,,88,,83,,311,,26,,
017130,4,,5,,92,,4,,90,,4,,87,,3,,84,,82,,92,,27,,
017132,4,,4,,89,,3,,88,,4,,86,,3,,84,,83,,111,,21,,
017134,4,,5,,92,,4,,90,,4,,86,,4,,88,,86,,328,,30,,
017135,5,11,5,11,92,11,4,11,88,11,5,11,90,11,5,11,92,11,92,11,67,11,25,11,11
017136,5,11,5,11,99,11,4,11,91,11,5,11,89,11,5,11,93,11,94,11,45,11,29,11,11
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017140,Not Available,11,Not Available,11,97,11,Not Available,11,96,11,Not Available,11,93,11,Not Available,11,98,11,96,11,39,11,43,11,11
017142,3,,3,,86,,1,,80,,4,,84,,2,,85,,73,,105,,28,,
017143,5,,5,,92,,4,,90,,5,,90,,4,,90,,87,,149,,29,,
017145,4,,4,,90,,4,,92,,4,,87,,4,,91,,87,,317,,25,,
017146,5,11,5,11,96,11,5,11,97,11,5,11,90,11,5,11,97,11,93,11,43,11,32,11,11
017147,4,,4,,89,,3,,87,,4,,85,,4,,90,,84,,123,,26,,
017148,4,,4,,90,,4,,88,,4,,84,,4,,85,,83,,318,,26,,
017149,4,,4,,88,,3,,85,,4,,83,,3,,87,,82,,290,,23,,
017151,4,,4,,92,,4,,90,,4,,88,,4,,87,,88,,175,,32,,
017152,5,,5,,93,,5,,93,,5,,89,,5,,92,,94,,83,,25,,
017153,4,,5,,93,,3,,87,,3,,82,,4,,90,,82,,757,,37,,
017154,4,,4,,90,,3,,84,,4,,83,,3,,82,,81,,114,,25,,
017155,3,,3,,86,,3,,85,,3,,81,,3,,83,,72,,172,,27,,
017157,4,,4,,87,,4,,89,,4,,86,,3,,83,,79,,120,,23,,
017158,5,,5,,94,,4,,91,,5,,89,,5,,93,,88,,299,,27,,
017159,4,,5,,91,,4,,90,,4,,87,,4,,88,,84,,277,,25,,
017160,4,,5,,91,,3,,90,,5,,91,,3,,87,,78,,82,,23,,
017161,3,,3,,87,,3,,87,,3,,78,,3,,86,,84,,238,,22,,
017163,3,,4,,89,,2,,85,,3,,79,,3,,89,,83,,113,,26,,
017164,4,,4,,91,,4,,88,,4,,87,,4,,91,,86,,305,,31,,
017165,4,,5,,92,,4,,87,,4,,83,,4,,88,,84,,268,,26,,
017166,4,,4,,90,,4,,89,,3,,80,,3,,83,,77,,121,,26,,
017167,4,,5,,94,,4,,91,,4,,84,,4,,91,,87,,116,,26,,
017168,4,,4,,92,,3,,87,,4,,85,,3,,84,,81,,274,,27,,
017170,5,,5,,93,,5,,92,,5,,89,,5,,94,,88,,213,,28,,
017171,4,,4,,91,,4,,88,,4,,83,,4,,85,,83,,276,,32,,
017175,4,,4,,90,,3,,86,,4,,83,,4,,88,,83,,231,,28,,
017176,3,,4,,89,,2,,82,,3,,78,,3,,83,,77,,453,,34,,
017177,4,,5,,92,,4,,90,,4,,87,,4,,91,,85,,189,,28,,
017178,4,,5,,91,,3,,87,,4,,84,,4,,90,,82,,253,,28,,
017179,3,,4,,87,,3,,83,,3,,80,,3,,81,,71,,329,,21,,
017180,3,,4,,88,,2,,82,,3,,77,,2,,81,,75,,141,,22,,
017182,3,,4,,89,,3,,87,,3,,82,,3,,87,,79,,240,,27,,
017300,4,,5,,91,,3,,87,,4,,86,,3,,86,,82,,333,,26,,
017305,4,,5,,91,,4,,90,,4,,88,,4,,91,,86,,332,,27,,
017307,3,,4,,90,,3,,85,,3,,75,,3,,87,,80,,133,,25,,
017319,3,,4,,90,,3,,88,,3,,79,,3,,86,,83,,306,,26,,
017320,5,,5,,91,,4,,88,,5,,90,,4,,90,,82,,304,,25,,
017323,5,,5,,94,,4,,89,,5,,91,,5,,90,,84,,188,,43,,
017324,4,,5,,90,,3,,87,,4,,87,,4,,88,,80,,288,,32,,
017326,4,,4,,89,,3,,86,,4,,87,,4,,88,,80,,284,,31,,
017327,4,,5,,92,,4,,89,,4,,85,,4,,90,,90,,134,,28,,
017328,4,,5,,92,,4,,88,,4,,86,,4,,91,,85,,127,,30,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017876,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,,5,,94,,4,,87,,5,,89,,4,,90,,84,,196,,37,,
017879,5,,5,,97,,4,,91,,4,,85,,5,,93,,88,,127,,40,,
027001,2,,2,,82,,2,,83,,3,,75,,2,,79,,73,,102,,21,,
027002,Not Available,11,Not Available,11,91,11,Not Available,11,86,11,Not Available,11,74,11,Not Available,11,96,11,99,11,24,11,24,11,11
027006,4,11,5,11,92,11,4,11,89,11,5,11,90,11,3,11,76,11,83,11,45,11,18,11,11
027008,3,,4,,89,,3,,85,,3,,77,,3,,86,,80,,171,,18,,
027009,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027010,Not Available,11,Not Available,11,100,11,Not Available,11,92,11,Not Available,11,88,11,Not Available,11,99,11,84,11,28,11,20,11,11
027014,Not Available,11,Not Available,11,93,11,Not Available,11,91,11,Not Available,11,97,11,Not Available,11,87,11,92,11,19,11,21,11,11
027020,Not Available,"10,11",Not Available,"10,11",90,"10,11",Not Available,"10,11",92,"10,11",Not Available,"10,11",84,"10,11",Not Available,"10,11",86,"10,11",86,"10,11",30,"10,11",14,"10,11","10,11"
027022,4,11,5,11,91,11,3,11,86,11,4,11,87,11,4,11,87,11,78,11,48,11,25,11,11
027032,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027034,3,11,3,11,86,11,3,11,86,11,4,11,87,11,2,11,82,11,79,11,67,11,26,11,11
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,84,11,Not Available,11,88,11,Not Available,11,84,11,Not Available,11,76,11,70,11,29,11,18,11,11
027037,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027038,4,11,4,11,85,11,3,11,84,11,4,11,87,11,4,11,86,11,79,11,48,11,15,11,11
037015,4,,4,,90,,3,,86,,3,,80,,4,,87,,80,,1214,,24,,
037016,3,,4,,87,,3,,82,,2,,70,,2,,79,,73,,228,,18,,
037024,3,,4,,89,,3,,87,,3,,75,,3,,87,,83,,192,,22,,
037027,3,,3,,83,,3,,88,,2,,72,,3,,85,,69,,70,,18,,
037030,5,,5,,92,,5,,93,,4,,86,,4,,92,,87,,221,,37,,
037036,4,,4,,89,,4,,88,,3,,81,,3,,88,,75,,100,,27,,
037037,3,,4,,90,,3,,87,,3,,82,,3,,85,,82,,265,,29,,
037042,3,,4,,88,,3,,84,,3,,78,,3,,88,,81,,91,,24,,
037047,5,,5,,93,,4,,91,,5,,91,,5,,96,,93,,78,,25,,
037050,5,,5,,91,,5,,93,,4,,87,,5,,94,,87,,129,,31,,
037057,5,,5,,92,,4,,89,,5,,92,,4,,84,,76,,85,,33,,
037068,Not Available,9,Not Available,9,88,9,Not Available,9,86,9,Not Available,9,43,9,Not Available,9,100,9,100,9,3,9,27,9,9
037070,3,,3,,88,,2,,83,,3,,77,,3,,82,,78,,304,,24,,
037099,3,,3,,87,,2,,84,,4,,84,,2,,82,,78,,122,,25,,
037101,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037106,3,,4,,90,,4,,90,,2,,74,,3,,85,,77,,136,,24,,
037112,2,,3,,84,,2,,82,,2,,71,,2,,85,,72,,139,,25,,
037114,4,,5,,92,,3,,86,,4,,85,,4,,89,,87,,128,,28,,
037118,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037125,Not Available,11,Not Available,11,90,11,Not Available,11,87,11,Not Available,11,91,11,Not Available,11,89,11,89,11,31,11,21,11,11
037129,4,11,5,11,93,11,3,11,85,11,2,11,67,11,4,11,87,11,82,11,50,11,29,11,11
037130,4,,4,,90,,4,,89,,4,,83,,4,,88,,84,,320,,36,,
037132,2,,2,,84,,2,,80,,2,,72,,2,,80,,72,,214,,11,,
037139,3,,4,,87,,3,,87,,3,,79,,3,,82,,76,,178,,29,,
037144,2,,3,,86,,2,,82,,2,,72,,2,,76,,73,,157,,27,,
037154,4,,4,,90,,3,,86,,4,,88,,4,,85,,79,,116,,26,,
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037179,Not Available,11,Not Available,11,93,11,Not Available,11,88,11,Not Available,11,90,11,Not Available,11,78,11,84,11,27,11,26,11,11
037185,3,,3,,86,,3,,87,,2,,74,,2,,76,,73,,107,,25,,
037188,4,,4,,89,,4,,90,,3,,81,,3,,84,,83,,119,,24,,
037192,4,,4,,88,,3,,87,,4,,84,,3,,84,,80,,240,,29,,
037199,4,,5,,93,,4,,91,,4,,84,,4,,91,,86,,282,,26,,
037202,2,,2,,81,,2,,77,,3,,77,,2,,76,,67,,237,,21,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,Not Available,11,Not Available,11,95,11,Not Available,11,91,11,Not Available,11,84,11,Not Available,11,87,11,73,11,21,11,15,11,11
037213,3,,3,,87,,3,,84,,3,,78,,3,,82,,83,,322,,32,,
037215,3,11,3,11,83,11,3,11,82,11,4,11,84,11,2,11,73,11,70,11,51,11,19,11,11
037216,Not Available,9,Not Available,9,96,9,Not Available,9,95,9,Not Available,9,74,9,Not Available,9,93,9,95,9,1,9,25,9,9
037217,3,,4,,87,,2,,82,,3,,79,,2,,81,,76,,294,,31,,
037220,2,,2,,82,,2,,77,,3,,75,,1,,76,,68,,147,,17,,
037221,4,,5,,91,,3,,85,,4,,86,,4,,86,,78,,229,,34,,
037224,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037226,3,,3,,85,,2,,83,,3,,75,,3,,86,,76,,170,,19,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037229,Not Available,9,Not Available,9,80,9,Not Available,9,69,9,Not Available,9,58,9,Not Available,9,66,9,83,9,7,9,18,9,9
037230,4,,4,,88,,4,,88,,3,,78,,4,,89,,78,,108,,34,,
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,3,11,2,11,85,11,2,11,78,11,3,11,82,11,3,11,86,11,75,11,56,11,18,11,11
037233,Not Available,11,Not Available,11,64,11,Not Available,11,79,11,Not Available,11,83,11,Not Available,11,59,11,58,11,39,11,15,11,11
037234,3,,3,,87,,2,,79,,3,,75,,2,,79,,72,,318,,22,,
037235,3,,4,,89,,3,,89,,2,,72,,3,,82,,79,,159,,10,,
037239,3,,3,,87,,2,,84,,4,,83,,3,,86,,84,,87,,18,,
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,72,9,Not Available,9,91,9,Not Available,9,69,9,Not Available,9,81,9,47,9,6,9,11,9,9
037245,3,,4,,90,,2,,85,,3,,75,,3,,84,,75,,150,,20,,
037246,3,11,4,11,90,11,2,11,82,11,2,11,74,11,4,11,94,11,80,11,67,11,25,11,11
037247,4,,4,,90,,3,,87,,4,,85,,4,,91,,83,,186,,34,,
037248,3,,4,,89,,3,,88,,3,,75,,3,,83,,74,,218,,27,,
037249,3,,4,,87,,2,,84,,3,,75,,3,,85,,74,,72,,12,,
037250,3,11,2,11,81,11,3,11,87,11,4,11,84,11,2,11,78,11,67,11,58,11,16,11,11
037251,Not Available,11,Not Available,11,82,11,Not Available,11,75,11,Not Available,11,61,11,Not Available,11,72,11,74,11,16,11,17,11,11
037252,4,,5,,90,,3,,86,,4,,85,,4,,88,,87,,196,,29,,
037253,3,,3,,84,,2,,80,,4,,83,,2,,73,,72,,138,,17,,
037254,3,11,4,11,89,11,2,11,80,11,3,11,77,11,3,11,82,11,76,11,64,11,19,11,11
037257,Not Available,9,Not Available,9,77,9,Not Available,9,68,9,Not Available,9,76,9,Not Available,9,89,9,66,9,8,9,7,9,9
037258,2,11,2,11,77,11,2,11,75,11,1,11,62,11,2,11,68,11,53,11,48,11,11,11,11
037260,2,,3,,84,,1,,78,,1,,60,,2,,77,,72,,187,,19,,
037261,Not Available,11,Not Available,11,76,11,Not Available,11,79,11,Not Available,11,48,11,Not Available,11,64,11,61,11,16,11,15,11,11
037262,3,,3,,86,,2,,83,,3,,76,,2,,80,,68,,271,,18,,
037263,Not Available,9,Not Available,9,97,9,Not Available,9,96,9,Not Available,9,50,9,Not Available,9,95,9,96,9,2,9,22,9,9
037264,3,,4,,88,,2,,81,,2,,72,,2,,82,,79,,150,,27,,
037265,2,11,2,11,78,11,2,11,75,11,1,11,65,11,2,11,76,11,80,11,41,11,20,11,11
037269,2,,2,,81,,3,,84,,2,,69,,2,,77,,68,,92,,17,,
037271,3,,3,,85,,3,,82,,2,,71,,2,,82,,68,,278,,14,,
037272,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037273,Not Available,"10,11",Not Available,"10,11",88,"10,11",Not Available,"10,11",81,"10,11",Not Available,"10,11",69,"10,11",Not Available,"10,11",86,"10,11",80,"10,11",38,"10,11",18,"10,11","10,11"
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,3,,3,,86,,3,,85,,3,,80,,3,,87,,82,,205,,33,,
037281,3,,4,,88,,3,,86,,3,,81,,3,,84,,78,,240,,28,,
037282,4,,4,,90,,3,,85,,3,,81,,4,,90,,76,,76,,22,,
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,"9,10",Not Available,"9,10",74,"9,10",Not Available,"9,10",76,"9,10",Not Available,"9,10",49,"9,10",Not Available,"9,10",83,"9,10",33,"9,10",5,"9,10",8,"9,10","9,10"
037288,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037290,2,11,2,11,81,11,2,11,78,11,1,11,66,11,3,11,85,11,75,11,56,11,15,11,11
037294,4,11,4,11,90,11,3,11,88,11,5,11,90,11,3,11,80,11,89,11,46,11,25,11,11
037295,2,,2,,82,,2,,76,,2,,67,,2,,75,,63,,239,,20,,
037297,4,11,4,11,87,11,3,11,84,11,4,11,83,11,3,11,78,11,79,11,43,11,14,11,11
037298,3,,4,,90,,3,,88,,3,,76,,3,,88,,83,,121,,22,,
037299,Not Available,11,Not Available,11,90,11,Not Available,11,97,11,Not Available,11,82,11,Not Available,11,88,11,88,11,22,11,21,11,11
037402,4,,4,,89,,3,,87,,3,,80,,4,,86,,83,,345,,30,,
037403,4,,5,,91,,3,,84,,3,,81,,3,,88,,83,,211,,36,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,2,11,2,11,81,11,1,11,75,11,2,11,69,11,2,11,74,11,65,11,69,11,16,11,11
037410,Not Available,11,Not Available,11,81,11,Not Available,11,74,11,Not Available,11,57,11,Not Available,11,71,11,70,11,15,11,10,11,11
037412,4,,4,,91,,4,,92,,5,,92,,4,,88,,90,,86,,30,,
037413,2,,2,,78,,2,,79,,3,,81,,1,,80,,66,,84,,25,,
037414,2,,3,,85,,2,,80,,2,,67,,2,,79,,71,,119,,9,,
037416,3,,4,,89,,3,,88,,3,,82,,3,,84,,81,,212,,35,,
037417,4,,5,,90,,3,,86,,4,,84,,3,,86,,79,,147,,22,,
037418,4,,5,,91,,3,,84,,3,,80,,4,,89,,83,,188,,17,,
037419,Not Available,9,Not Available,9,67,9,Not Available,9,77,9,Not Available,9,40,9,Not Available,9,60,9,86,9,5,9,15,9,9
037421,3,,4,,89,,3,,89,,4,,83,,2,,84,,74,,123,,17,,
037422,3,,4,,90,,2,,80,,2,,74,,3,,81,,77,,128,,12,,
037423,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037424,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037425,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037426,Not Available,11,Not Available,11,80,11,Not Available,11,77,11,Not Available,11,72,11,Not Available,11,75,11,51,11,36,11,15,11,11
037431,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037432,Not Available,11,Not Available,11,75,11,Not Available,11,72,11,Not Available,11,82,11,Not Available,11,73,11,50,11,38,11,11,11,11
037433,2,,2,,83,,1,,77,,2,,69,,1,,73,,74,,86,,19,,
037436,3,,4,,89,,2,,84,,4,,83,,3,,87,,77,,137,,24,,
037437,3,,3,,83,,1,,74,,4,,88,,2,,76,,65,,71,,20,,
037438,2,,3,,86,,2,,80,,2,,71,,2,,80,,68,,102,,19,,
037439,3,,2,,84,,2,,79,,4,,83,,2,,76,,73,,91,,19,,
037441,3,,4,,88,,2,,81,,3,,76,,2,,85,,68,,106,,17,,
037442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037443,Not Available,11,Not Available,11,80,11,Not Available,11,75,11,Not Available,11,74,11,Not Available,11,79,11,60,11,18,11,23,11,11
037445,Not Available,11,Not Available,11,98,11,Not Available,11,88,11,Not Available,11,94,11,Not Available,11,100,11,100,11,11,11,22,11,11
037446,3,,4,,90,,3,,83,,3,,79,,3,,84,,73,,120,,31,,
037447,4,,4,,90,,3,,87,,4,,84,,4,,88,,80,,150,,33,,
037450,4,,4,,88,,3,,87,,4,,83,,4,,87,,82,,306,,31,,
037451,2,,2,,84,,2,,80,,3,,77,,2,,79,,73,,205,,34,,
037452,4,11,4,11,90,11,3,11,87,11,3,11,81,11,4,11,86,11,78,11,46,11,24,11,11
037453,Not Available,11,Not Available,11,79,11,Not Available,11,72,11,Not Available,11,61,11,Not Available,11,86,11,71,11,25,11,13,11,11
037454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037455,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037456,4,,5,,91,,3,,89,,4,,84,,4,,90,,86,,420,,48,,
